char,charLabel,father,fatherLabel,mother,motherLabel,spouse,spouseLabel
http://www.wikidata.org/entity/Q12434647,Q12434647,,,,,,
http://www.wikidata.org/entity/Q12442387,Brihadbala,,,,,,
http://www.wikidata.org/entity/Q12452536,Bahlika,,,,,,
http://www.wikidata.org/entity/Q12456719,Savitri,,,,,,
http://www.wikidata.org/entity/Q12474547,Wives of Duryodhana,,,,,http://www.wikidata.org/entity/Q1405823,Duryodhana
http://www.wikidata.org/entity/Q12506306,Prabukusuma,,,,,,
http://www.wikidata.org/entity/Q12769888,Q12769888,,,,,,
http://www.wikidata.org/entity/Q13091533,Alobha,,,,,,
http://www.wikidata.org/entity/Q13091608,Anuradha,,,,,,
http://www.wikidata.org/entity/Q13091664,Arya Seta,,,,,,
http://www.wikidata.org/entity/Q13091685,Aswaketu,,,,,,
http://www.wikidata.org/entity/Q13091753,Bahwasi,,,,,,
http://www.wikidata.org/entity/Q13092129,Bhimadewa,,,,,,
http://www.wikidata.org/entity/Q13092392,Carucitra,,,,,,
http://www.wikidata.org/entity/Q13092464,Citrangga,,,,,,
http://www.wikidata.org/entity/Q13092607,Dananjaya,,,,,,
http://www.wikidata.org/entity/Q13092620,Darmagosa,,,,,,
http://www.wikidata.org/entity/Q13092817,Dretapara,,,,,,
http://www.wikidata.org/entity/Q13092826,Duhsa,,,,,,
http://www.wikidata.org/entity/Q13092848,Durbalaki,,,,,,
http://www.wikidata.org/entity/Q13092850,Durdharsa,,,,,,
http://www.wikidata.org/entity/Q13092867,Duskarna,,,,,,
http://www.wikidata.org/entity/Q13093406,Hayabahu,,,,,,
http://www.wikidata.org/entity/Q13093597,Jarasanda,,,,,,
http://www.wikidata.org/entity/Q13093804,Q13093804,http://www.wikidata.org/entity/Q97696530,Q97696530,,,,
http://www.wikidata.org/entity/Q13094823,Mahacitra,,,,,,
http://www.wikidata.org/entity/Q13096183,Prabhata,,,,,,
http://www.wikidata.org/entity/Q13096191,Pramathi,,,,,,
http://www.wikidata.org/entity/Q13096933,Senani,,,,,,
http://www.wikidata.org/entity/Q13097275,Sudatra,,,,,,
http://www.wikidata.org/entity/Q13097524,Surasakti,,,,,,
http://www.wikidata.org/entity/Q13098218,Ugra,,,,,,
http://www.wikidata.org/entity/Q13098219,Ugrasrayi,,,,,,
http://www.wikidata.org/entity/Q13098280,Upacitra,,,,,,
http://www.wikidata.org/entity/Q13098559,Wiwitsu,,,,,,
http://www.wikidata.org/entity/Q13121409,Śala,http://www.wikidata.org/entity/Q926150,Dhṛtarāṣṭra,,,,
http://www.wikidata.org/entity/Q13122029,Q13122029,,,,,,
http://www.wikidata.org/entity/Q13122068,Q13122068,,,,,,
http://www.wikidata.org/entity/Q14589610,Bhadra,,,,,http://www.wikidata.org/entity/Q42891,Krishna
http://www.wikidata.org/entity/Q14589648,Ashtabharya,,,,,,
http://www.wikidata.org/entity/Q14589858,Lakshmana,,,,,http://www.wikidata.org/entity/Q42891,Krishna
http://www.wikidata.org/entity/Q15220325,Brihadratha,,,,,,
http://www.wikidata.org/entity/Q15290894,Sudeshna,,,,,http://www.wikidata.org/entity/Q2978459,Virāṭa
http://www.wikidata.org/entity/Q15645224,Uttamaujas,,,,,,
http://www.wikidata.org/entity/Q15845154,Svecchamrityu,,,,,,
http://www.wikidata.org/entity/Q16002315,akrodha,,,,,,
http://www.wikidata.org/entity/Q16879757,Bambang Sumitra,,,,,,
http://www.wikidata.org/entity/Q16889475,Kamatha,,,,,,
http://www.wikidata.org/entity/Q17001606,Chandravarma Kamboja,,,,,,
http://www.wikidata.org/entity/Q17006665,Kakudmi,,,,,,
http://www.wikidata.org/entity/Q17006691,Kalmāṣapāda,,,,,,
http://www.wikidata.org/entity/Q17023260,Svetaketu,,,,,,
http://www.wikidata.org/entity/Q18208171,Vajradatta,,,,,,
http://www.wikidata.org/entity/Q18208212,Vijaya,,,,,,
http://www.wikidata.org/entity/Q19832698,Jaratkaru,,,,,http://www.wikidata.org/entity/Q1518806,Manasā
http://www.wikidata.org/entity/Q19896979,character in the Mahabharata,,,,,,
http://www.wikidata.org/entity/Q19899102,Uttanka,,,,,,
http://www.wikidata.org/entity/Q22906248,Lakshmanaa,http://www.wikidata.org/entity/Q1405823,Duryodhana,,,http://www.wikidata.org/entity/Q2841495,Samba
http://www.wikidata.org/entity/Q24054436,Vrishasena,http://www.wikidata.org/entity/Q2727397,Karṇa,,,,
http://www.wikidata.org/entity/Q24943989,Kaunteya,,,,,,
http://www.wikidata.org/entity/Q24943990,Madreya,,,,,,
http://www.wikidata.org/entity/Q25927082,Suśarmā,,,,,,
http://www.wikidata.org/entity/Q26695703,Kalanemi,,,,,,
http://www.wikidata.org/entity/Q30673061,Madravti,,,,,,
http://www.wikidata.org/entity/Q55637249,Vyushitaswa,http://www.wikidata.org/entity/Q4248950,Kuru,,,,
http://www.wikidata.org/entity/Q65050457,Devika,,,,,http://www.wikidata.org/entity/Q983067,Yudhiṣṭhira
http://www.wikidata.org/entity/Q65661521,Kertolo Statue,,,,,,
http://www.wikidata.org/entity/Q65661526,Bima Statue,,,,,,
http://www.wikidata.org/entity/Q65661531,Bima Statue,,,,,,
http://www.wikidata.org/entity/Q65661544,Bima Statue,,,,,,
http://www.wikidata.org/entity/Q65663112,Bima Statue,,,,,,
http://www.wikidata.org/entity/Q95368656,Shrutsena,http://www.wikidata.org/entity/Q1978476,Nakula,,,,
http://www.wikidata.org/entity/Q97696530,Q97696530,,,,,,
